Username,Checked,Activity Level
JohnPMorgan,0,0
nelsonjdiii,0,0
JohnLuciew,0,0
gomarkhomer,0,0
wsherm,0,0
kdogpdog,0,0
scottmorton1,0,0
GideonTJones,0,0
lmghanson,0,0
StephenWhite11,0,0
TonyFitzgerald1,0,0
TKBlair4,0,0
MsRandiRoberts,0,0
bdhumphreys,0,0
tmitchell555,0,0
aoffitzer,0,0
Clawrie,0,0
eric_atkins,0,0
RougeBlancBleu,0,0
lcomerlato,0,0
SahagianAllsopp,0,0
TheArmoTrader,0,0
DVRPC,0,0
Stiko55,0,0
chrisbeha,0,0
lowcostnews,0,0
teamhinkle,0,0
APA_Planning,0,0
brownstevens,0,0
r5seeds,0,0
ms_consultants,0,0
RosarioSochor85,0,0
ndekalb,0,0
karpjonathan,0,0
DSMICtranspo,0,0
caticatang,0,0
AidanHughesArup,0,0
AlexJamesPowell,0,0
ITECPP,0,0
mscorelle,0,0
ULI_Columbus,0,0
gbeltalliance,0,0
ranjanxroy,0,0
kel_larkins,0,0
mmurphy14,0,0
taocruiser,0,0
fishburn11,0,0
denverpostjoe,0,0
FeightClub,0,0
MartyManley,0,0
jhellendrung,0,0
DrunkSandy,0,0
EmHsiung,0,0
ml_wong,0,0
landpolicy,0,0
mamakoid,0,0
OpusCit,0,0
DannyReeves,0,0
ryewalsh,0,0
VMGProperties,0,0
stephieball,0,0
kyle_reis,0,0
ArchBostonExpo,0,0
adriantmiller,0,0
krisberinson,0,0
KSHartnett,0,0
AbrahamK,0,0
juli_tarsney,0,0
MasonWiley,0,0
ltownsend4,0,0
droplinebacker,0,0
madpoet19,0,0
lcdot,0,0
sendinthefood,0,0
noellekristine,0,0
BridgetCACNP,0,0
nwright72,0,0
PFcad,0,0
CindiGibson,0,0
CraigWestover,0,0
dbreunig,0,0
berangerecagnat,0,0
BigPlansKehla,0,0
kdalageorgas,0,0
rob1cox,0,0
envisioncad,0,0
MI_GOP,0,0
alex2882,0,0
lcbopp,0,0
maxlinsky,0,0
edwardepstein,0,0
an1517,0,0
emmjay2662,0,0
nathanh6686,0,0
URBACT2,0,0
charlie3257,0,0
briantierney,0,0
mike_decr,0,0
willfriedman,0,0
VamooseBus,0,0
JeremyMassey,0,0
webbob,0,0
maxwindiff,0,0
M_Owens1,0,0
