Username,Checked,Followers List,Followers Count
kevin_mcnellis,1,0,
JustinOnWeb,1,0,
AdamWagner1990,1,0,
AllanDwyer,1,0,
Guy_Specialized,1,0,
meganlshannon,1,0,
richardcauxier,1,0,
schaller67,1,0,
JonesZM,1,0,
dan_munz,1,0,
THillTeev,1,0,
AlejandroGilG,1,0,
rkbarney,1,0,
cynocephale,1,0,
danielgeffen,1,0,
joshmull,1,0,
AliFionaSmith,1,0,
BurcuMirkelam,1,0,
mcorley,1,0,
RyanKrog,1,0,
GOV_TreV,1,0,
kurtwahlgren,1,0,
colinrtalbot,1,0,
GraceChesson,1,0,
mariasusername,1,0,
amilcartavares,1,0,
sisely_mcbr,1,0,
ThePrudentJuris,1,0,
HarvardAsh,1,0,
TobiasBunde,1,0,
delsnafu,1,0,
Gov_EricM,1,0,
GOV_RyanR,1,0,
MenesBabington,1,0,
gullreven,1,0,
PistilliTalsma,1,0,
OccupyOlympics,1,0,
ElmiraConsuegra,1,0,
MHR_Topher,1,0,
albertofango,1,0,
SprecherMahoney,1,0,
GOV_PaxtonS,1,0,
jonwoon,1,0,
michaelmumper,1,0,
GOV_EmilyS,1,0,
ObsoleteDogma,1,0,
GeHeeSong,1,0,
AkselSterri,1,0,
AhmadNyarwi,1,0,
policyanalyst,1,0,
DaveWiltse,1,0,
MashaSundar,1,0,
michaelbames,1,0,
MagisterLuddite,1,0,
MichelleDuffy4,1,0,
rickL00,1,0,
HermCHO,1,0,
StanislavChara,1,0,
HaakonRiekeles,1,0,
RyanRommann,1,0,
Taniangozi,1,0,
ewctcu,1,0,
jchaskell24,1,0,
eliasisquith,1,0,
tightie_whitie,1,0,
Gov_AlexW,1,0,
TheGenMgr,1,0,
RyanLizza,1,0,
SCotton4,1,0,
Jake_Rudy,1,0,
dallasjelgin,1,0,
Duffington_Post,1,0,
GEanalyst,1,0,
NortheastGOP,1,0,
tin_alessandro,1,0,
gov_blakeR,1,0,
bjrigby,1,0,
RandiLibin,1,0,
polslaw,1,0,
Vaktoth,1,0,
sad214,1,0,
matt_cav_,1,0,
wdjstraw,1,0,
Melissa_Ruther,1,0,
